,wilcox_stat,wilcox_pval,cohens_d,adjusted_pval,metadata_r_id,rxn_name_long,subsystem,ind_in_original_recon,rxn_EC_number,genes_associated_with_rxn,rxn_formula,rxn_confidence
GLGNS1_pos,25.0,0.30952380952380953,0.9246100323404535,0.3675771713538545,GLGNS1,glycogen synthase (ggn -> glygn1),Starch and sucrose metabolism,2061,2.4.1.11,GYG; GYS1; GYS2,"3.00 * UDPglucose [c] + 1.00 * primed glycogenin (glycogenin-8[1,4-Glc]) [c] --> 3.00 * proton [c] + 3.00 * UDP [c] + 1.00 * glycogen, structure 1 (glycogenin-11[1,4-Glc]) [c]
GYG; GYS1; GYS2",2.0
GLPASE1_pos,25.0,0.30952380952380953,0.9246100323403231,0.3675771713538545,GLPASE1,glycogen phosphorylase (glygn2 -> dxtrn),Starch and sucrose metabolism,2072,2.4.1.1,PYGB; PYGL; PYGM,"3.00 * hydrogenphosphate [c] + 1.00 * glycogen, structure 2 (glycogenin-1,6-{7[1,4-Glc], 4[1,4-Glc]}) [c] --> 3.00 * D-Glucose 1-phosphate [c] + 1.00 * phosphorylase-limit dextrin (glycogenin-1,6{4[1,4-Glc], 4[1,4-Glc]}) [c]
PYGB; PYGL; PYGM",4.0
GLPASE2_pos,25.0,0.30952380952380953,0.9246100323404535,0.3675771713538545,GLPASE2,glycogen phosphorylase (amyls -> glc-D),Starch and sucrose metabolism,2073,2.4.1.1,PYGB; PYGL; PYGM,"7.00 * Water [c] + 1.00 * glycogen, structure 3 (glycogenin-7[1,4-Glc]) [c] --> 7.00 * D-glucose [c] + 1.00 * Tyr-194 of apo-glycogenin protein (primer for glycogen synthesis) [c]
PYGB; PYGL; PYGM",4.0
GLU5Km_pos,36.0,0.0021645021645021645,2.934286182390878,0.014494593198296903,GLU5Km,glutamate 5-kinase (m),Urea cycle,2075,2.7.2.11,ALDH18A1,"1.00 * L-glutamate(1-) [m] + 1.00 * ATP [m] --> 1.00 * ADP [m] + 1.00 * L-Glutamate 5-phosphate [m]
ALDH18A1",2.0
GLUDC_pos,22.0,0.5887445887445888,0.5040554646023037,0.6443817938689304,GLUDC,Glutamate Decarboxylase,Glutamate metabolism,2077,4.1.1.15,GAD1; GAD2,"1.00 * proton [c] + 1.00 * L-glutamate(1-) [c] --> 1.00 * carbon dioxide [c] + 1.00 * 4-Aminobutanoate [c]
GAD1; GAD2",4.0
GLUDxm_neg,10.0,0.24025974025974026,-0.8579229408934691,0.29451048010370046,GLUDxm,glutamate dehydrogenase (NAD) (mitochondrial),Glutamate metabolism,2078,1.4.1.3,GLUD1,"1.00 * Water [m] + 1.00 * Nicotinamide adenine dinucleotide [m] + 1.00 * L-glutamate(1-) [m] --> 1.00 * proton [m] + 1.00 * 2-Oxoglutarate [m] + 1.00 * Nicotinamide adenine dinucleotide - reduced [m] + 1.00 * Ammonium [m]
GLUD1",4.0
GLUDxm_pos,13.0,0.48484848484848486,-0.5195029483873734,0.5426201492226251,GLUDxm,glutamate dehydrogenase (NAD) (mitochondrial),Glutamate metabolism,2078,1.4.1.3,GLUD1,"1.00 * Water [m] + 1.00 * Nicotinamide adenine dinucleotide [m] + 1.00 * L-glutamate(1-) [m] --> 1.00 * proton [m] + 1.00 * 2-Oxoglutarate [m] + 1.00 * Nicotinamide adenine dinucleotide - reduced [m] + 1.00 * Ammonium [m]
GLUD1",4.0
GLUDym_neg,13.0,0.48484848484848486,-0.5195029483873709,0.5426201492226251,GLUDym,"glutamate dehydrogenase (NADP), mitochondrial",Glutamate metabolism,2079,1.4.1.4,GLUD1,"1.00 * Water [m] + 1.00 * Nicotinamide adenine dinucleotide phosphate [m] + 1.00 * L-glutamate(1-) [m] --> 1.00 * proton [m] + 1.00 * Nicotinamide adenine dinucleotide phosphate - reduced [m] + 1.00 * 2-Oxoglutarate [m] + 1.00 * Ammonium [m]
GLUD1",4.0
GLUDym_pos,10.0,0.24025974025974026,-0.8579229408934621,0.29451048010370046,GLUDym,"glutamate dehydrogenase (NADP), mitochondrial",Glutamate metabolism,2079,1.4.1.4,GLUD1,"1.00 * Water [m] + 1.00 * Nicotinamide adenine dinucleotide phosphate [m] + 1.00 * L-glutamate(1-) [m] --> 1.00 * proton [m] + 1.00 * Nicotinamide adenine dinucleotide phosphate - reduced [m] + 1.00 * 2-Oxoglutarate [m] + 1.00 * Ammonium [m]
GLUD1",4.0
GLUNm_pos,32.0,0.025974025974025976,1.568482352574218,0.05113881883391865,GLUNm,glutaminase (mitochondrial),Glutamate metabolism,2081,3.5.1.2,GLS; GLS2,"1.00 * Water [m] + 1.00 * L-glutamine [m] --> 1.00 * L-glutamate(1-) [m] + 1.00 * Ammonium [m]
GLS; GLS2",4.0
GLUPRT_pos,36.0,0.0021645021645021645,2.601523647091591,0.014494593198296903,GLUPRT,glutamine phosphoribosyldiphosphate amidotransferase,Purine synthesis,2082,2.4.2.14,PPAT,"1.00 * Water [c] + 1.00 * 5-Phospho-alpha-D-ribose 1-diphosphate [c] + 1.00 * L-glutamine [c] --> 1.00 * L-glutamate(1-) [c] + 1.00 * Diphosphate [c] + 1.00 * 5-Phospho-beta-D-ribosylamine [c]
PPAT",4.0
GLUTCOADHm_pos,36.0,0.0021645021645021645,2.9065146396688637,0.014494593198296903,GLUTCOADHm,glutaryl-CoA dehydrogenase (mitochondria),Tryptophan metabolism,2086,1.3.99.7,GCDH,"1.00 * proton [m] + 1.00 * glutaryl-CoA(5-) [m] + 1.00 * Flavin adenine dinucleotide oxidized [m] --> 1.00 * carbon dioxide [m] + 1.00 * crotonoyl-CoA(4-) [m] + 1.00 * Flavin adenine dinucleotide reduced [m]
GCDH",2.0
GLXO1_pos,27.0,0.17965367965367965,1.052020432163153,0.231465914660689,GLXO1,glyoxylate oxidase,Glyoxylate and dicarboxylate metabolism,2089,1.2.3.5,LDHA; LDHAL6B; LDHB; LDHC; LDHD; UEVLD,"1.00 * Water [c] + 1.00 * Nicotinamide adenine dinucleotide [c] + 1.00 * glyoxylate [c] --> 2.00 * proton [c] + 1.00 * Nicotinamide adenine dinucleotide - reduced [c] + 1.00 * oxalate(2-) [c]
LDHA; LDHAL6B; LDHB; LDHC; LDHD; UEVLD",4.0
GLXO2p_pos,31.0,0.04112554112554113,1.5035681085708246,0.07481446260093551,GLXO2p,"glyoxylate oxidase, peroxisomal",Glyoxylate and dicarboxylate metabolism,2090,1.1.3.15,HAO1; HAO2,"1.00 * O2 [x] + 1.00 * Water [x] + 1.00 * glyoxylate [x] --> 1.00 * proton [x] + 1.00 * Hydrogen peroxide [x] + 1.00 * oxalate(2-) [x]
HAO1; HAO2",4.0
GLYAMDTRc_neg,14.0,0.5887445887445888,-0.20689306918702424,0.6443817938689304,GLYAMDTRc,glycine amidinotransferase (c),Urea cycle,2093,2.1.4.1,GATM,"1.00 * Glycine [c] + 1.00 * L-argininium(1+) [c] --> 1.00 * Ornithine [c] + 1.00 * guanidinoacetic acid [c]
GATM",4.0
GLYAMDTRc_pos,16.0,0.8181818181818182,-0.09124287047804497,0.8488277740748255,GLYAMDTRc,glycine amidinotransferase (c),Urea cycle,2093,2.1.4.1,GATM,"1.00 * Glycine [c] + 1.00 * L-argininium(1+) [c] --> 1.00 * Ornithine [c] + 1.00 * guanidinoacetic acid [c]
GATM",4.0
GLYATm_pos,28.0,0.13203463203463203,0.8701421910288797,0.17882093631157303,GLYATm,glycine C-acetyltransferase,"Glycine, serine, alanine and threonine metabolism",2094,2.3.1.29,GCAT,"1.00 * Acetyl-CoA [m] + 1.00 * Glycine [m] --> 1.00 * Coenzyme A [m] + 1.00 * L-2-amino-3-oxobutanoic acid [m]
GCAT",2.0
GLYCLTDy_pos,33.0,0.015151515151515152,1.236215200686495,0.03587530451844748,GLYCLTDy,Glycolate dehydrogenase (NADP),Glyoxylate and dicarboxylate metabolism,2099,1.1.1.79,GRHPR,"1.00 * proton [c] + 1.00 * Nicotinamide adenine dinucleotide phosphate - reduced [c] + 1.00 * glyoxylate [c] --> 1.00 * Nicotinamide adenine dinucleotide phosphate [c] + 1.00 * glycolate [c]
GRHPR",4.0
GLYKm_pos,20.0,0.8181818181818182,0.12945894108901837,0.8488277740748255,GLYKm,glycerol kinase,Glycerophospholipid metabolism,2107,2.7.1.30,GK; GK2,"1.00 * ATP [m] + 1.00 * Glycerol [m] --> 1.00 * proton [m] + 1.00 * ADP [m] + 1.00 * Glycerol 3-phosphate [m]
GK; GK2",2.0
GLYOX_pos,1.0,0.004329004329004329,-2.2494312569299106,0.018489166126961405,GLYOX,hydroxyacylglutathione hydrolase,Pyruvate metabolism,2109,3.1.2.6,HAGH; HAGHL,"1.00 * Water [c] + 1.00 * (R)-S-lactoylglutathionate(1-) [c] --> 1.00 * proton [c] + 1.00 * Reduced glutathione [c] + 1.00 * (R)-lactate [c]
HAGH; HAGHL",4.0
GMPR_pos,28.0,0.13203463203463203,1.0142701011091746,0.17882093631157303,GMPR,GMP reductase,Nucleotide interconversion,2119,1.7.1.7,GMPR; GMPR2,"2.00 * proton [c] + 1.00 * Nicotinamide adenine dinucleotide phosphate - reduced [c] + 1.00 * GMP [c] --> 1.00 * Ammonium [c] + 1.00 * Nicotinamide adenine dinucleotide phosphate [c] + 1.00 * IMP [c]
GMPR; GMPR2",4.0
GND_pos,36.0,0.0021645021645021645,3.285213977291242,0.014494593198296903,GND,phosphogluconate dehydrogenase,Pentose phosphate pathway,2123,1.1.1.44,PGD,"1.00 * Nicotinamide adenine dinucleotide phosphate [c] + 1.00 * 6-Phospho-D-gluconate [c] --> 1.00 * Nicotinamide adenine dinucleotide phosphate - reduced [c] + 1.00 * carbon dioxide [c] + 1.00 * D-ribulose 5-phosphate(2-) [c]
PGD",4.0
GNDc_pos,32.0,0.025974025974025976,1.7705936188644518,0.05113881883391865,GNDc,phosphogluconate dehydrogenase,Pentose phosphate pathway,7359,1.1.1.44,PGD,"3.00 * Nicotinamide adenine dinucleotide phosphate [c] + 3.00 * 6-Phospho-D-gluconate [c] --> 3.00 * Nicotinamide adenine dinucleotide phosphate - reduced [c] + 3.00 * carbon dioxide [c] + 3.00 * D-ribulose 5-phosphate(2-) [c]
PGD",4.0
GNDer_pos,26.0,0.24025974025974026,0.9110431299320884,0.29451048010370046,GNDer,"phosphogluconate dehydrogenase, endoplasmic reticulum",Pentose phosphate pathway,2124,1.1.1.44,PGD,"1.00 * Nicotinamide adenine dinucleotide phosphate [r] + 1.00 * 6-Phospho-D-gluconate [r] --> 1.00 * Nicotinamide adenine dinucleotide phosphate - reduced [r] + 1.00 * carbon dioxide [r] + 1.00 * D-ribulose 5-phosphate(2-) [r]
PGD",4.0
GNMT_pos,18.0,1.0,0.00997718648151982,1.0,GNMT,glycine N-methyltransferase,"Glycine, serine, alanine and threonine metabolism",2125,2.1.1.20,GNMT,"1.00 * S-Adenosyl-L-methionine [c] + 1.00 * Glycine [c] --> 1.00 * proton [c] + 1.00 * S-Adenosyl-L-homocysteine [c] + 1.00 * Sarcosine [c]
GNMT",4.0
GPAM_hs_pos,22.0,0.5887445887445888,0.08332776952915454,0.6443817938689304,GPAM_hs,glycerol-3-phosphate acyltransferase,Triacylglycerol synthesis,2130,2.3.1.15,GPAM; MBOAT2,"1.00 * R total Coenzyme A [c] + 1.00 * Glycerol 3-phosphate [c] --> 1.00 * Coenzyme A [c] + 1.00 * lysophosphatidic acid [c]
GPAM; MBOAT2",4.0
GRTT_pos,36.0,0.0021645021645021645,2.4807498587828434,0.014494593198296903,GRTT,geranyltranstransferase,Cholesterol metabolism,2142,2.5.1.10,GGPS1,"1.00 * Isopentenyl diphosphate [c] + 1.00 * Geranyl diphosphate [c] --> 1.00 * Diphosphate [c] + 1.00 * Farnesyl diphosphate [c]
GGPS1",2.0
GRTTx_pos,35.0,0.004329004329004329,2.4554629529947136,0.018489166126961405,GRTTx,geranyltranstransferase,Cholesterol metabolism,2143,2.5.1.10,FDPS,"1.00 * Isopentenyl diphosphate [x] + 1.00 * Geranyl diphosphate [x] --> 1.00 * Diphosphate [x] + 1.00 * Farnesyl diphosphate [x]
FDPS",4.0
GTHO_pos,36.0,0.0021645021645021645,5.47717155828999,0.014494593198296903,GTHO,glutathione oxidoreductase,Glutamate metabolism,2152,1.8.1.7,GSR,"1.00 * proton [c] + 1.00 * Nicotinamide adenine dinucleotide phosphate - reduced [c] + 1.00 * Oxidized glutathione [c] --> 1.00 * Nicotinamide adenine dinucleotide phosphate [c] + 2.00 * Reduced glutathione [c]
GSR",2.0
GTHOm_pos,36.0,0.0021645021645021645,5.576147728521411,0.014494593198296903,GTHOm,glutathione oxidoreductase,Glutamate metabolism,2153,1.8.1.7,GSR,"1.00 * proton [m] + 1.00 * Nicotinamide adenine dinucleotide phosphate - reduced [m] + 1.00 * Oxidized glutathione [m] --> 1.00 * Nicotinamide adenine dinucleotide phosphate [m] + 2.00 * Reduced glutathione [m]
GSR",2.0
GTHP_pos,34.0,0.008658008658008658,2.1403509093589275,0.027356785609212793,GTHP,glutathione peroxidase,Glutathione metabolism,2154,1.11.1.9,GPX1; GPX2; GPX4; PRDX1; PRDX2,"1.00 * Hydrogen peroxide [c] + 2.00 * Reduced glutathione [c] --> 2.00 * Water [c] + 1.00 * Oxidized glutathione [c]
GPX1; GPX2; GPX4; PRDX1; PRDX2",4.0
GTHPe_pos,31.0,0.04112554112554113,1.5210354641260295,0.07481446260093551,GTHPe,glutathione peroxidase (e),Glutathione metabolism,2155,1.11.1.9,GPX1; GPX2; GPX3; GPX6; GPX7,"2.00 * Reduced glutathione [e] + 1.00 * Hydrogen peroxide [e] --> 2.00 * Water [e] + 1.00 * Oxidized glutathione [e]
GPX1; GPX2; GPX3; GPX6; GPX7",4.0
GTHPm_pos,35.0,0.004329004329004329,2.379723988707921,0.018489166126961405,GTHPm,"glutathione peroxidase, mitochondria",Glutathione metabolism,2156,1.11.1.9,GPX1; GPX4; PRDX3,"1.00 * Hydrogen peroxide [m] + 2.00 * Reduced glutathione [m] --> 2.00 * Water [m] + 1.00 * Oxidized glutathione [m]
GPX1; GPX4; PRDX3",4.0
GTMLTe_pos,33.0,0.015151515151515152,2.0742280276377687,0.03587530451844748,GTMLTe,g-glutamyltransferase (e),Glutathione metabolism,2160,2.3.2.2,GGT1,"1.00 * L-alanine [c] + 1.00 * Reduced glutathione [c] --> 1.00 * L-cysteinylglycine [e] + 1.00 * 5-L-Glutamyl-L-alanine [e]
GGT1",4.0
GUACYC_pos,30.0,0.06493506493506493,1.2308280485002592,0.10654457717729711,GUACYC,guanylate cyclase,Nucleotide interconversion,2164,4.6.1.2,GUCY1A2; GUCY1A3; GUCY1B3; GUCY2C; GUCY2E; GUCY2F; NPR1; NPR2,"1.00 * GTP [c] --> 1.00 * 3',5'-cyclic GMP(1-) [c] + 1.00 * Diphosphate [c]
GUCY1A2; GUCY1A3; GUCY1B3; GUCY2C; GUCY2E; GUCY2F; NPR1; NPR2",4.0
GUAD_pos,33.0,0.015151515151515152,1.725291336253692,0.03587530451844748,GUAD,guanine deaminase,Purine catabolism,2165,3.5.4.3,GDA,"1.00 * Water [c] + 1.00 * proton [c] + 1.00 * Guanine [c] --> 1.00 * Ammonium [c] + 1.00 * Xanthine [c]
GDA",4.0
GluForTx_pos,34.0,0.008658008658008658,2.2432589249470594,0.027356785609212793,GluForTx,Glutamate formimidoyltransferase,Histidine metabolism,2080,2.1.2.5,FTCD,"1.00 * proton [c] + 1.00 * 5,6,7,8-Tetrahydrofolate [c] + 1.00 * N-Formimidoyl-L-glutamate [c] --> 1.00 * L-glutamate(1-) [c] + 1.00 * 5-Formiminotetrahydrofolate [c]
FTCD",4.0
HACD1m_neg,30.0,0.06493506493506493,1.2141510990215463,0.10654457717729711,HACD1m,3-hydroxyacyl-CoA dehydrogenase (acetoacetyl-CoA) (mitochondria),Tryptophan metabolism,2211,1.1.1.35,HADH; HADHA; HADHB; HSD17B10,"1.00 * proton [m] + 1.00 * Nicotinamide adenine dinucleotide - reduced [m] + 1.00 * Acetoacetyl-CoA [m] --> 1.00 * Nicotinamide adenine dinucleotide [m] + 1.00 * (S)-3-hydroxybutanoyl-CoA(4-) [m]
HADH; HADHA; HADHB; HSD17B10",1.0
HACD1m_pos,35.0,0.004329004329004329,2.8018217954998086,0.018489166126961405,HACD1m,3-hydroxyacyl-CoA dehydrogenase (acetoacetyl-CoA) (mitochondria),Tryptophan metabolism,2211,1.1.1.35,HADH; HADHA; HADHB; HSD17B10,"1.00 * proton [m] + 1.00 * Nicotinamide adenine dinucleotide - reduced [m] + 1.00 * Acetoacetyl-CoA [m] --> 1.00 * Nicotinamide adenine dinucleotide [m] + 1.00 * (S)-3-hydroxybutanoyl-CoA(4-) [m]
HADH; HADHA; HADHB; HSD17B10",1.0
HACD9m_neg,36.0,0.0021645021645021645,3.1400597786579696,0.014494593198296903,HACD9m,"3-hydroxyacyl-CoA dehydrogenase (2-Methylacetoacetyl-CoA), mitochondrial","Valine, leucine, and isoleucine metabolism",2213,1.1.1.35,EHHADH; HADH; HSD17B10,"1.00 * Nicotinamide adenine dinucleotide [m] + 1.00 * (2S,3S)-3-hydroxy-2-methylbutanoyl-CoA(4-) [m] --> 1.00 * proton [m] + 1.00 * Nicotinamide adenine dinucleotide - reduced [m] + 1.00 * 2-methylacetoacetyl-CoA(4-) [m]
EHHADH; HADH; HSD17B10",4.0
HACD9m_pos,36.0,0.0021645021645021645,3.107092914184022,0.014494593198296903,HACD9m,"3-hydroxyacyl-CoA dehydrogenase (2-Methylacetoacetyl-CoA), mitochondrial","Valine, leucine, and isoleucine metabolism",2213,1.1.1.35,EHHADH; HADH; HSD17B10,"1.00 * Nicotinamide adenine dinucleotide [m] + 1.00 * (2S,3S)-3-hydroxy-2-methylbutanoyl-CoA(4-) [m] --> 1.00 * proton [m] + 1.00 * Nicotinamide adenine dinucleotide - reduced [m] + 1.00 * 2-methylacetoacetyl-CoA(4-) [m]
EHHADH; HADH; HSD17B10",4.0
HEX10_pos,29.0,0.09307359307359307,1.254504308253283,0.14338840646532955,HEX10,hexokinase (D-glucosamine:ATP),Aminosugar metabolism,2227,2.7.1.1,GCK; HK1; HK2; HK3; HKDC1,"1.00 * ATP [c] + 1.00 * D-Glucosamine [c] --> 1.00 * ADP [c] + 1.00 * proton [c] + 1.00 * D-Glucosamine 6-phosphate [c]
GCK; HK1; HK2; HK3; HKDC1",1.0
HEX4_pos,21.0,0.6991341991341992,0.21084223896401083,0.7510586734055954,HEX4,hexokinase (D-mannose:ATP),Fructose and mannose metabolism,2228,2.7.1.7,GCK; HK1; HK2; HK3; HKDC1,"1.00 * ATP [c] + 1.00 * D-Mannose [c] --> 1.00 * ADP [c] + 1.00 * proton [c] + 1.00 * D-Mannose 6-phosphate [c]
GCK; HK1; HK2; HK3; HKDC1",2.0
HEX7_pos,31.0,0.04112554112554113,1.299396326890524,0.07481446260093551,HEX7,hexokinase (D-fructose:ATP),Fructose and mannose metabolism,2229,2.7.1.1,GCK; HK1; HK2; HK3; HKDC1,"1.00 * ATP [c] + 1.00 * D-Fructose [c] --> 1.00 * ADP [c] + 1.00 * proton [c] + 1.00 * D-Fructose 6-phosphate [c]
GCK; HK1; HK2; HK3; HKDC1",2.0
HGNTOR_pos,31.0,0.04112554112554113,1.4864269723080408,0.07481446260093551,HGNTOR,"Homogentisate:oxygen 1,2-oxidoreductase (decyclizing)",Tyrosine metabolism,2235,1.13.11.5,HGD,"1.00 * O2 [c] + 1.00 * homogentisate [c] --> 1.00 * proton [c] + 1.00 * 4-maleylacetoacetate [c]
HGD",4.0
HIBDm_pos,17.0,0.9372294372294373,-0.14481310247686094,0.9521502117881079,HIBDm,"3-hydroxyisobutyrate dehydrogenase, mitochondrial","Valine, leucine, and isoleucine metabolism",2236,1.1.1.31,HIBADH,"1.00 * Nicotinamide adenine dinucleotide [m] + 1.00 * 3-hydroxy-2-methylpropanoate [m] --> 1.00 * proton [m] + 1.00 * Nicotinamide adenine dinucleotide - reduced [m] + 1.00 * 2-methyl-3-oxopropanoate [m]
HIBADH",4.0
HISDC_pos,32.0,0.025974025974025976,1.6776756937616277,0.05113881883391865,HISDC,histidine decarboxylase,Histidine metabolism,2238,4.1.1.28,DDC; HDC,"1.00 * proton [c] + 1.00 * L-histidine [c] --> 1.00 * carbon dioxide [c] + 1.00 * histamium [c]
DDC; HDC",4.0
HISD_pos,34.0,0.008658008658008658,2.2432589249470594,0.027356785609212793,HISD,histidase,Histidine metabolism,2237,4.3.1.3,HAL,"1.00 * L-histidine [c] --> 1.00 * Ammonium [c] + 1.00 * Urocanate [c]
HAL",4.0
HKYNH_pos,4.0,0.025974025974025976,-1.3250680351637858,0.05113881883391865,HKYNH,3-Hydroxy-L-kynurenine hydrolase,Tryptophan metabolism,2246,3.7.1.3,KYNU,"1.00 * Water [c] + 1.00 * 3-hydroxy-L-kynurenine [c] --> 1.00 * 3-hydroxyanthranilate [c] + 1.00 * L-alanine [c]
KYNU",4.0
HMBS_pos,33.0,0.015151515151515152,1.973839804272095,0.03587530451844748,HMBS,hydroxymethylbilane synthase,Heme synthesis,2247,4.3.1.8,HMBS,"1.00 * Water [c] + 4.00 * Porphobilinogen [c] --> 4.00 * Ammonium [c] + 1.00 * Hydroxymethylbilane [c]
HMBS",2.0
HMGCOASi_pos,28.0,0.13203463203463203,1.0302143679889615,0.17882093631157303,HMGCOASi,Hydroxymethylglutaryl CoA synthase (ir),Cholesterol metabolism,2249,4.1.3.5,HMGCS1,"1.00 * Water [c] + 1.00 * Acetoacetyl-CoA [c] + 1.00 * Acetyl-CoA [c] --> 1.00 * proton [c] + 1.00 * Coenzyme A [c] + 1.00 * Hydroxymethylglutaryl-CoA [c]
HMGCS1",4.0
HMGCOASim_pos,17.0,0.9372294372294373,-0.43661357466725154,0.9521502117881079,HMGCOASim,Hydroxymethylglutaryl CoA synthase (ir),Cholesterol metabolism,2250,4.1.3.5,HMGCS2,"1.00 * Water [m] + 1.00 * Acetyl-CoA [m] + 1.00 * Acetoacetyl-CoA [m] --> 1.00 * proton [m] + 1.00 * Coenzyme A [m] + 1.00 * Hydroxymethylglutaryl-CoA [m]
HMGCS2",4.0
HMGLm_pos,17.0,0.9372294372294373,-0.43645827349762695,0.9521502117881079,HMGLm,hydroxymethylglutaryl-CoA lyase,Cholesterol metabolism,2253,4.1.3.4,HMGCL; HMGCLL1,"1.00 * Hydroxymethylglutaryl-CoA [m] --> 1.00 * Acetyl-CoA [m] + 1.00 * acetoacetate [m]
HMGCL; HMGCLL1",4.0
HMGLx_pos,34.0,0.008658008658008658,2.342479928660412,0.027356785609212793,HMGLx,hydroxymethylglutaryl-CoA lyase,Cholesterol metabolism,2254,4.1.3.4,HMGCL,"1.00 * Hydroxymethylglutaryl-CoA [x] --> 1.00 * Acetyl-CoA [x] + 1.00 * acetoacetate [x]
HMGCL",4.0
HPDCACRNCPT1_pos,28.0,0.13203463203463203,1.4986524537798063,0.17882093631157303,HPDCACRNCPT1,carnitine fatty-acyl transferase,Fatty acid oxidation,2259,2.3.1.21,CPT1A; CPT1B; CPT1C,"1.00 * L-Carnitine [c] + 1.00 * heptadecanoyl coa [c] --> 1.00 * Coenzyme A [c] + 1.00 * heptadecanoyl carnitine [c]
CPT1A; CPT1B; CPT1C",4.0
HPYRR2x_pos,36.0,0.0021645021645021645,3.828367311096365,0.014494593198296903,HPYRR2x,hydroxypyruvate reductase (NADH),Glyoxylate and dicarboxylate metabolism,2265,1.1.1.27,LDHA; LDHAL6B; LDHB; LDHC; LDHD,"3.00 * proton [c] + 1.00 * Nicotinamide adenine dinucleotide - reduced [c] + 2.00 * 3-hydroxypyruvate [c] --> 1.00 * Nicotinamide adenine dinucleotide [c] + 2.00 * (S)-Glycerate [c]
LDHA; LDHAL6B; LDHB; LDHC; LDHD",2.0
HPYRRy_pos,32.0,0.025974025974025976,1.8748849299754815,0.05113881883391865,HPYRRy,Hydroxypyruvate reductase (NADPH),Glyoxylate and dicarboxylate metabolism,2266,1.1.1.79,GRHPR,"1.00 * proton [c] + 1.00 * Nicotinamide adenine dinucleotide phosphate - reduced [c] + 1.00 * 3-hydroxypyruvate [c] --> 1.00 * Nicotinamide adenine dinucleotide phosphate [c] + 1.00 * D-glycerate [c]
GRHPR",4.0
HS1ly_pos,33.0,0.015151515151515152,1.7003819337279404,0.03587530451844748,HS1ly,"heparan-N-sulfatase, lysosomal",Heparan sulfate degradation,2269,3.10.1.1,SGSH,"1.00 * Water [l] + 1.00 * heparan sulfate, degradation product 1 [l] --> 1.00 * proton [l] + 1.00 * sulfate [l] + 1.00 * heparan sulfate, degradation product 2 [l]
SGSH",4.0
HS2ly_pos,33.0,0.015151515151515152,1.7003819337279404,0.03587530451844748,HS2ly,"heparan-N-sulfatase, lysosomal",Heparan sulfate degradation,2270,3.10.1.1,SGSH,"1.00 * Water [l] + 1.00 * heparan sulfate, degradation product 6 [l] --> 1.00 * proton [l] + 1.00 * sulfate [l] + 1.00 * heparan sulfate, degradation product 7 [l]
SGSH",4.0
HS3ly_pos,33.0,0.015151515151515152,1.7003819337279404,0.03587530451844748,HS3ly,"heparan-N-sulfatase, lysosomal",Heparan sulfate degradation,2271,3.10.1.1,SGSH,"1.00 * Water [l] + 1.00 * heparan sulfate, degradation product 12 [l] --> 1.00 * proton [l] + 1.00 * sulfate [l] + 1.00 * heparan sulfate, degradation product 13 [l]
SGSH",4.0
HS4ly_pos,33.0,0.015151515151515152,1.7003819337279542,0.03587530451844748,HS4ly,"heparan-N-sulfatase, lysosomal",Heparan sulfate degradation,2272,3.10.1.1,SGSH,"1.00 * Water [l] + 1.00 * heparan sulfate, degradation product 18 [l] --> 1.00 * proton [l] + 1.00 * sulfate [l] + 1.00 * heparan sulfate, degradation product 19 [l]
SGSH",4.0
HSD11B1r_neg,26.0,0.24025974025974026,0.9753478101994623,0.29451048010370046,HSD11B1r,11-beta-hydroxysteroid dehydrogenase type 1,Steroid metabolism,2277,1.1.1.146,HSD11B1,"1.00 * proton [r] + 1.00 * Nicotinamide adenine dinucleotide phosphate - reduced [r] + 1.00 * cortisone [r] --> 1.00 * Nicotinamide adenine dinucleotide phosphate [r] + 1.00 * cortisol [r]
HSD11B1",4.0
HSD11B1r_pos,26.0,0.24025974025974026,0.9753478101994623,0.29451048010370046,HSD11B1r,11-beta-hydroxysteroid dehydrogenase type 1,Steroid metabolism,2277,1.1.1.146,HSD11B1,"1.00 * proton [r] + 1.00 * Nicotinamide adenine dinucleotide phosphate - reduced [r] + 1.00 * cortisone [r] --> 1.00 * Nicotinamide adenine dinucleotide phosphate [r] + 1.00 * cortisol [r]
HSD11B1",4.0
HSD17B1_neg,5.0,0.04112554112554113,-1.4146917384300919,0.07481446260093551,HSD17B1,testicular 17-beta-hydroxysteroid dehydrogenase,Steroid metabolism,2279,1.1.1.62,H2-KE6; HSD17B1,"1.00 * proton [c] + 1.00 * Nicotinamide adenine dinucleotide phosphate - reduced [c] + 1.00 * estrone [c] --> 1.00 * Nicotinamide adenine dinucleotide phosphate [c] + 1.00 * estradiol [c]
H2-KE6; HSD17B1",4.0
HSD17B1_pos,30.0,0.06493506493506493,1.4511977667950626,0.10654457717729711,HSD17B1,testicular 17-beta-hydroxysteroid dehydrogenase,Steroid metabolism,2279,1.1.1.62,H2-KE6; HSD17B1,"1.00 * proton [c] + 1.00 * Nicotinamide adenine dinucleotide phosphate - reduced [c] + 1.00 * estrone [c] --> 1.00 * Nicotinamide adenine dinucleotide phosphate [c] + 1.00 * estradiol [c]
H2-KE6; HSD17B1",4.0
